ticker;shortName;sector;industry;marketCap;regularMarketPrice;averageDailyVolume10Day;exDividendDate;dividendRate;dividendYield;fiveYearAvgDividendYield;fiftyDayAverage;twoHundredDayAverage;trailingPE;forwardPE;pegRatio;trailingEps;forwardEps;priceToBook;profitMargins;beta;market;timestamp
asm.as;ASM International N.V.;Technology;Semiconductor Equipment & Materials;29822797824.0;608.8;159707.0;15/05/2024 02:00;2.75;0.0045;0.84;664.484;569.6968;54.6009;32.29708;2.68;11.15;18.85;8.786767;0.21250999;1.228;Euronext;1723803420
fur.as;FUGRO;Energy;Oil & Gas Equipment & Services;2495102464.0;22.2;387312.0;29/04/2024 02:00;0.4;0.018099999;3.95;23.0756;20.41085;10.090909;9.61039;;2.2;2.31;1.869159;0.13081001;0.959;Euronext;1723803420
pvl.pa;PLAST.VAL LOIRE;Consumer Cyclical;Auto Parts;40231760.0;1.825;6628.0;06/04/2022 02:00;;;2.13;2.0737;2.748675;;5.069444;-2.34;-0.11;0.36;0.17716728;-0.0029300002;2.168;Euronext;1723803420
dec.pa;JCDECAUX SE;Communication Services;Advertising Agencies;3984165888.0;18.7;133782.0;21/05/2019 02:00;;;1.98;19.4106;18.8292;15.080646;25.616438;;1.24;0.73;1.9328166;0.07604;1.58;Euronext;1723803420
ose.pa;OSE IMMUNOTHERAPEUTICS;Healthcare;Biotechnology;151891632.0;6.97;116637.0;;;;;6.7536;5.33135;;3.4;;-1.18;2.05;6.5507517;0.0;0.914;Euronext;1723803420
soi.pa;SOITEC;Technology;Semiconductor Equipment & Materials;3765295104.0;105.5;81591.0;;;;;111.214;126.80875;21.663244;14.859155;1.05;4.87;7.1;2.5183806;0.18234;1.355;Euronext;1723803420
xior.br;XIOR;Real Estate;REIT—Diversified;1365603712.0;32.25;40452.0;19/05/2025 02:00;1.25;0.038599998;4.69;30.73;28.88225;24.431818;13.841202;;1.32;2.33;0.8270291;0.25194;0.655;Euronext;1723803420
colr.br;Colruyt Group N.V.;Consumer Defensive;Grocery Stores;5588051456.0;44.78;66374.0;27/09/2024 02:00;1.38;0.0309;3.15;44.7352;42.5233;5.268235;14.170885;1.09;8.5;3.16;1.7658426;0.09689999;0.236;Euronext;1723803420
iva.pa;INVENTIVA;Healthcare;Biotechnology;109959144.0;2.1;21098.0;;;;;2.5384;3.2731;;-1.5;;-2.43;-1.4;;0.0;1.01;Euronext;1723803420
lat.pa;LATECOERE;Industrials;Aerospace & Defense;112471192.0;0.009;446517.0;25/06/2008 02:00;;;5.01;0.009704;0.0169745;;;0.15;-0.25;0.0;;-0.27922;1.319;Euronext;1723803420
vrap.pa;VRANKEN-POMMERY;Consumer Defensive;Beverages—Wineries & Distilleries;126983576.0;14.3;764.0;23/09/2024 02:00;0.8;0.0557;3.8;14.917;15.556;20.724638;9.225807;1.96;0.69;1.55;0.30643952;0.018170001;0.628;Euronext;1723803420
mf.pa;WENDEL;Financial Services;Asset Management;3655160832.0;86.35;34318.0;21/05/2024 02:00;4.0;0.0464;3.22;85.504;86.326;121.61972;20.26995;-0.31;0.71;4.26;1.1309314;0.06465;1.325;Euronext;1723803420
infe.pa;GROUPE ETPO SA;Industrials;Engineering & Construction;71145584.0;60.5;0.0;02/07/2024 02:00;7.16;0.1183;3.49;56.88;64.39;53.070175;;;1.14;;1.2501034;0.008090001;0.74;Euronext;1723803420
maat.pa;MAAT PHARMA;Healthcare;Biotechnology;98887544.0;7.12;781.0;;;;;7.434;7.8001;;;;-1.7;;4.03171;0.0;0.207;Euronext;1723803420
jcq.pa;JACQUET METALS;Basic Materials;Steel;331373152.0;15.34;45925.0;03/07/2024 02:00;0.2;0.013300001;4.08;15.3636;17.4442;6.7876105;8.247312;0.57;2.26;1.86;0.51302636;0.00463;1.234;Euronext;1723803420
bar.br;BARCO;Technology;Electronic Components;1075369728.0;12.14;99980.0;06/05/2024 02:00;0.48;0.0395;2.04;11.2452;14.18185;19.580647;12.778948;;0.62;0.95;1.4954423;0.05805;1.24;Euronext;1723803420
argx.br;ARGENX SE;Healthcare;Biotechnology;28744081408.0;480.7;67607.0;;;;;417.93;381.356;;113.10589;0.93;-3.16;4.25;6.743922;-0.12312999;0.313;Euronext;1723803420
schd.br;SCHEERD.V KERCHOVE;Basic Materials;Building Materials;12320000.0;308.0;0.0;30/05/2017 02:00;;;1.52;295.2;385.99;;;;-97.24;;0.67923397;-0.11286;-0.271;Euronext;1723803420
save.pa;SAVENCIA S.A.;Consumer Defensive;Packaged Foods;671083648.0;50.2;540.0;13/05/2024 02:00;1.4;0.0276;1.74;50.97;52.584;7.0013947;5.5408387;0.68;7.17;9.06;0.4247578;0.01421;0.635;Euronext;1723803420
ontex.br;ONTEX GROUP;Consumer Defensive;Household & Personal Products;710043264.0;8.75;92171.0;01/06/2022 02:00;;;2.06;8.4154;7.988425;21.875;8.101851;0.15;0.4;1.08;0.7659984;0.026500002;0.432;Euronext;1723803420
af.pa;AIR FRANCE -KLM;Industrials;Airlines;2029048448.0;7.726;955680.0;14/07/2008 02:00;;;2.22;8.59492;10.5929;;1.8936274;0.14;-1.27;4.08;;0.0089300005;1.809;Euronext;1723803420
eas2p.as;EASE2PAY NV;Technology;Software - Infrastructure;12618620.0;0.536;15165.0;13/05/2016 02:00;;;431.76;0.55896;0.58193;;;;-0.06;;1.8419244;-0.50835;0.389;Euronext;1723803420
cla.pa;CLARANOVA;Technology;Software - Application;83874120.0;1.48;107051.0;;;;;1.7981;2.087975;;;;-0.11;0.0;;-0.010140001;1.536;Euronext;1723803420
cndf.pa;CRCAM NORD CCI;Financial Services;Banks - Regional;195556192.0;12.12;1267.0;29/04/2024 02:00;0.65;0.053200003;4.58;12.82656;12.99258;5.1355934;;;2.36;;0.13022736;0.22681999;0.643;Euronext;1723803420
bsgr.as;B&S Group;Consumer Defensive;Food Distribution;405734592.0;4.82;42071.0;28/05/2024 02:00;0.16;0.034;;4.8087;4.223375;20.083334;7.5312505;;0.24;0.64;1.7134732;0.01521;1.508;Euronext;1723803420
pharm.as;PHARMING GROUP;Healthcare;Biotechnology;494180896.0;0.7285;5487493.0;;;;;0.75855;0.9535425;;24.283335;;-0.02;0.03;2.2346625;-0.048010003;0.806;Euronext;1723803420
rou.br;ROULARTA;Communication Services;Publishing;139596928.0;11.1;2126.0;22/05/2024 02:00;1.0;0.0913;2.15;10.707;11.53925;24.130436;13.536586;;0.46;0.82;0.6028023;0.00722;0.635;Euronext;1723803420
elis.pa;ELIS;Industrials;Specialty Business Services;5046976000.0;21.44;313507.0;27/05/2024 02:00;0.43;0.0201;;20.9564;20.3236;21.877552;15.536232;;0.98;1.38;1.4732357;0.05455;1.893;Euronext;1723803420
ccn.pa;CRCAM NORM.SEINE;Financial Services;Banks - Regional;254641520.0;73.0;215.0;13/05/2024 02:00;3.71;0.0508;4.44;75.7504;76.0826;5.6809335;;;12.85;;0.15379721;0.22443001;0.782;Euronext;1723803420
nxfil.as;NX FILTRATION N.V.;Utilities;Utilities - Regulated Water;255628784.0;5.11;67534.0;;;;;5.0493;4.667875;;;;-0.47;;2.139866;0.0;0.826;Euronext;1723803420
die.br;D'IETEREN GROUP;Consumer Cyclical;Auto & Truck Dealerships;11274473472.0;213.0;29785.0;11/06/2024 02:00;3.75;0.0176;1.51;203.464;189.741;22.829582;12.693683;1.2;9.33;16.78;3.2614188;0.06322;1.227;Euronext;1723803420
vrla.pa;VERALLIA;Consumer Cyclical;Packaging & Containers;3160249088.0;26.84;190195.0;14/05/2024 02:00;2.15;0.080299996;;31.366;33.6932;11.090909;6.170115;;2.42;4.35;3.6631637;0.08035;0.99;Euronext;1723803420
sifg.as;SIF HOLDING;Industrials;Metal Fabrication;361652064.0;12.1;6660.0;16/05/2022 02:00;;;;11.8132;10.516;37.812504;11.100918;;0.32;1.09;1.8495874;0.02391;0.882;Euronext;1723803420
reina.as;REINET INVESTMENTS;Financial Services;Asset Management;4181193216.0;23.0;247.0;12/09/2024 02:00;0.35;0.0148;1.35;23.504;22.678;8.070176;;;2.85;;0.67613256;0.99425006;0.625;Euronext;1723803420
onwd.br;ONWARD MEDICAL;Healthcare;Biotechnology;167949680.0;4.85;23676.0;;;;;5.0172;4.47035;;;;-1.2;;8.164983;0.0;0.854;Euronext;1723803420
clex.br;CUMULEX;Consumer Defensive;Confectioners;594000.0;1.35;0.0;;;;;1.3268;1.35595;;;;-0.17;;;0.0;-0.966;Euronext;1723803420
nano.pa;NANOBIOTIX;Healthcare;Biotechnology;214269248;4.52;41631;N/A;N/A;N/A;N/A;4.68548;5.705845;N/A;-4.4313726;N/A;-1.08;-1.02;N/A;-1.09644;1.287;Euronext;1723805086
mour.br;MOURY CONSTRUCT;Industrials;Engineering & Construction;200979904;505.0;63;13/06/2024 02:00;11.0;0.0218;2.77;532.6;481.91;8.210048;N/A;N/A;61.51;N/A;1.9095732;0.12562999;0.397;Euronext;1723805086
arami.pa;ARAMIS GROUP;Consumer Cyclical;Auto & Truck Dealerships;447489216;5.41;36267;N/A;N/A;N/A;N/A;4.5372;4.0522;N/A;60.111107;N/A;-0.4;0.09;2.6428921;-0.01574;0.916;Euronext;1723805086
bfit.as;BASIC-FIT;Consumer Cyclical;Leisure;1502160000;22.76;134265;N/A;N/A;N/A;N/A;21.2496;23.6835;206.90909;17.643412;0.37;0.11;1.29;3.679276;0.00674;1.701;Euronext;1723805086
local.pa;SOLOCAL GROUP;Communication Services;Advertising Agencies;113275760;0.0034;69738366;17/06/2020 02:00;N/A;N/A;13.05;0.03137844;0.06202711;N/A;0.016999999;-0.57;-0.03;0.2;N/A;-0.12749;1.008;Euronext;1723805086
ppla.as;;Financial Services;Asset Management;N/A;0.3;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;50.0;1.0;N/A;Euronext;1723805086
